latent,dim,qubits,layers,participation_ratio,effective_rank_99pct,log_det_cov,energy_dist_to_gaussian,energy_dist_to_uniform,occupancy_frac,occupied_cells,mean_abs_offdiag_corr,std_mean,ent_mean_vn_entropy,ent_max_vn_entropy,ent_ln2_reference,ent_available
gaussian,4,,,3.988644221549563,4,0.010723663057681292,0.002974802580698821,0.15162269643117332,0.335205078125,1373,0.012181662924042517,1.0015299493666014,,,,
uniform,4,,,3.9961909736324173,4,-4.426389234604299,0.13913113040469893,0.001582406959150573,0.39501953125,1618,0.01361008553768848,0.57503378266282,,,,
rank2,4,,,1.525567181902484,4,-8.557657831360359,0.4035432335481426,0.36506041496785757,0.0283203125,116,0.5344582794361994,0.6322134087348916,,,,
trig,4,,,2.0604169400693757,3,-13.323094532469234,0.49837664664651626,0.2508806425020951,0.015625,64,0.46212006080554374,0.39582323419022736,,,,
vqc,4,4.0,3.0,1.1944161914144142,3,-16.038680960043614,0.7918495292338581,0.5842954674712608,0.0224609375,92,0.866480150762119,0.33836560963561113,0.256934551601669,0.6483300243235881,0.6931471805599453,True
vqc_noent,4,4.0,3.0,1.1330611867013576,2,-59.010681559094266,0.8244725653767886,0.6735997727862078,0.0126953125,52,0.9254820284703382,0.3969190305042507,8.641053301540744e-16,9.197684551725272e-15,0.6931471805599453,True
vqc,2,2.0,1.0,1.3036307754942065,2,-4.78105838345539,0.6861229327627871,0.6175913092859202,0.390625,25,0.6128922763842475,0.3531710803051936,0.04000633968425047,0.07883709626224945,0.6931471805599453,True
vqc,2,2.0,2.0,1.945593240382304,2,-4.968223035633784,0.8146965770296153,0.6915334211921171,0.390625,25,0.1394124650567633,0.2902411892542851,0.06595093729157328,0.21428339195547502,0.6931471805599453,True
vqc,2,2.0,3.0,1.201154435557637,2,-5.39364900132094,0.5178403252651838,0.374223192242084,0.34375,22,0.8162566133576453,0.34080233326920173,0.14389349473010687,0.3372785935174231,0.6931471805599453,True
vqc,2,2.0,6.0,1.15536816911454,2,-5.184385000411873,0.4537273478920829,0.33046771477373915,0.390625,25,0.8442303108064261,0.3760169834259095,0.2730449065840965,0.6774049702088434,0.6931471805599453,True
vqc,4,4.0,1.0,1.3355766741054866,2,-58.974842765543265,1.18410056732914,1.181555924615391,0.01171875,48,0.8144582692435786,0.3219951101305485,0.2322193232347425,0.6013493826683646,0.6931471805599453,True
vqc,4,4.0,2.0,1.5033339794199339,2,-21.086359472653047,1.0278162488799678,1.0349729332928634,0.01318359375,54,0.562121519873236,0.30440660830684463,0.32287053978047253,0.6780607186551524,0.6931471805599453,True
vqc,4,4.0,3.0,1.209362912733355,3,-15.80555258735879,0.7501237890441725,0.602513934409276,0.015869140625,65,0.8589230003731627,0.3390589179115423,0.256934551601669,0.6483300243235881,0.6931471805599453,True
vqc,4,4.0,6.0,1.4267629223604619,3,-19.091690125450295,0.6843540024452217,0.3894413690718721,0.010009765625,41,0.4536961792132024,0.21163557590491688,0.3445572060015474,0.675553535719383,0.6931471805599453,True
vqc,6,6.0,1.0,1.4932773544963747,2,-113.09739261964334,1.554858610696002,1.376942080604591,0.000301361083984375,79,0.6765532850818493,0.32871709967472856,0.21759449826918945,0.6287362239283789,0.6931471805599453,True
vqc,6,6.0,2.0,2.111263881291089,4,-30.03052469157789,1.4273663717944225,1.193553708820507,0.0005035400390625,132,0.4796023575801844,0.2856495906059957,0.2811148063762019,0.6886436161459257,0.6931471805599453,True
vqc,6,6.0,3.0,1.8731199817027095,3,-28.762108360303266,1.4717035531762774,1.2578234065982656,0.00048828125,128,0.5186582658608196,0.29740788252552924,0.29926839514877446,0.679006156685027,0.6931471805599453,True
vqc,6,6.0,6.0,2.3130979768657944,4,-25.539229198301854,1.5444409538508332,1.3650779336045484,0.00046539306640625,122,0.5289108364967977,0.2643957191658451,0.36668359678476886,0.6744586302819292,0.6931471805599453,True
vqc,8,8.0,1.0,1.7374798382117638,2,-167.60273561446863,1.751515061554084,1.6482866518003898,6.318092346191406e-06,106,0.5926249631092446,0.3241893526147126,0.19845822306941852,0.6610592159483053,0.6931471805599453,True
vqc,8,8.0,2.0,2.1399730178855974,3,-53.77419225283915,1.9673251258335593,1.8656767605838387,8.463859558105469e-06,142,0.5804151670326477,0.263285100267385,0.22173485065298304,0.5686812241121548,0.6931471805599453,True
vqc,8,8.0,3.0,1.9365325972761351,3,-44.97561522775306,1.5420467620487885,1.373100216481793,1.0251998901367188e-05,172,0.548855528181339,0.31439077016868366,0.20972060761348993,0.5462109272616942,0.6931471805599453,True
vqc,8,8.0,6.0,2.068494552874138,4,-43.49021704771025,1.565346655970469,1.3654322211953134,1.0192394256591797e-05,171,0.5445565139901714,0.2630367341752602,0.2263052613474826,0.6559257217030978,0.6931471805599453,True
